index,source,en,ko
5859,126,"Regarding this matter, the Seoul Metro labor union said: ""We welcome the decision made by Press Arbitration Commission, given that it made it clear that newspaper editorials were also responsible for the refuting reports.""",서울교통공사노조는 이와 관련 “이번 조정은 신문 사설도 반론보도의 책임이 있다는 점을 분명히 했다는 점에서 언중위 결정을 환영한다”고 밝혔다.
2498,71382,Because you know that was a very disappointing call thankfully you can have interactions I think with that particular artist.,그것이 매우 실망스러운 전화라는 것을 알고 있기 때문에 고맙게도 그 특정 아티스트와 상호 작용할 수 있다고 생각합니다.
5014,71382,Is there any special reason?,무슨 특별한 이유라도 있는 것일까?
2555,126,"Kang Hye-in, director of Korean market at GINGKOO, said, ""I hope this agreement will be a good opportunity for both companies to lead the Asian blockchain industry.""",강혜인 진쿠 한국 시장 디렉터는 “이번 협약을 통해 양사가 아시아 블록체인 산업을 선도할 수 있는 좋은 기회가 되었으면 좋겠다”고 전했다.
1461,71382,"You know, sometimes you think, you talk about death, but when it really happens.",가끔은 죽음에 대해 이야기하지만 실제로는 죽음이 일어날 때라고 생각합니다.
2659,125,"In fact, about 12% of VCC loans in the early 1970s had been used for repayment of usuries.",실제로 70년대 초반 마을금고 대출금의 약 12%가 고리채 정리에 이용되었다.
9788,71265,"As far as I'm aware, ghost movements occur when you use the joystick for a lengthy duration of time.",내가 알기로는 조이스틱을 장시간 사용할 때 고스트 움직임이 발생합니다.
7685,71266,"Coral reefs most commonly bleach when water temperature rises unusually, making colored algae leaving the reef bright white.",산호초들은 수온이 이례적으로 상승할 경우 가장 흔하게 백화 현상을 겪으며 색채를 띠는 조류들이 떠나면서 산호초는 밝은 흰색을 띠게 된다.
5117,124,The relevant app is forcibly connected to the page with the notice content when they click the consent to the collection and use of personal information.,해당 앱은 개인정보 수집 및 이용에 동의를 클릭하면 강제로 고지내용이 있는 페이지로 연결된다.
144,563,"To provide a paper feeding roller and an image formation device, capable of keeping good peper passing performance with no occurrence of long cord-like abrasion powder caused by rubber shaving in large scale during a long period since an initial stage of use. A peper feeding roller includes a roller body 2 being integrally formed in a tube in which a plurality of ridges 6 are arranged with a constant interval on an outer peripheral surface 5, being made from elastic material. The roller body 2 is formed in such a manner as a mountain part 6a and a valley part 6b are continued along circumferential direction, in a cross section in the direction orthogonal to the axial direction of the roller body 2. An open degree θ with a center axis as a center between adjoining ridges 6 is 2°-8°. A height h in radial direction of the ridge 6 which is a difference in terms of height between the mountain part 6a and the valley part 6b is 0.051-0.1 mm, and further, a radius of curvature r1 at a shoulder part S of which a radius of curvature is smallest, in the mountain part 6a, is 0.55 mm or larger.","사용 초기부터 장기간에 걸쳐 큰 고무 깎을 수 있는에 의한 긴 끈형 마모가루가 발생하는 일 없이 양호한 통지 성능을 유지를 계속할 수 있는, 종이 이송 롤러 및 화상 형성 장치의 제공을 목적으로 한다. 본 발명의 종이 이송 롤러는 탄성 재료에 의해 외주면 5에 복수의 볼록조 6이 등간격으로 배설된 통형에 일체로 형성된 롤러 본체 2를 구비하고, 롤러 본체 2는 롤러 본체 2의 축방향과 직교하는 방향의 단면에서 둘레방향으로 산부 6 a와 골짜기부 6 b가 연속하도록 형성되고 인접한 볼록조 6 간의 중심축을 중심으로 하는 개도각θ는 2° 이상 8°이하에서 산부 6 a와 골짜기부 6 b 사이의 높이의 차이가 되는 볼록조 6의 지름 방향의 높이 h가 0.051 mm 이상 0.1 mm이하이며 산부 6 a 중 가장 곡률 반지름이 작은 견부 S의 곡률 반지름 r1가 0.55 mm 이상인 것을 특징으로 한다."
3783,71266,The cloud server 400 may register executable files or programs registered by an administrator or a user of the corresponding cloud server 400 or the agent 300 or the local server 500 in the whitelist.,클라우드 서버(400)는 해당 클라우드 서버(400)나 에이전트(300) 또는 로컬 서버(500)의 관리자 또는 사용자가 등록한 실행 파일 또는 프로그램들을 화이트리스트에 등록할 수 있다.
3932,124,The third surface 213 of the second semiconductor chip 202 may face the second surface 212 of the first semiconductor chip 201.,제2 반도체 칩(202)의 제3 면(213)은 제1 반도체 칩(201)의 제2 면(212)과 마주볼 수 있다.
4793,126,"Yes, if you take this bus you can get off at the museum in Yongsan.","네, 이 버스를 이용하시면 용산에 있는 박물관에서 내릴 수 있습니다."
9765,563,"To provide a compact-sized decoration device which makes valuables such as medals, objet d'art or commodities look more attractive and gorgeous, especially by employing a new presentation method to make a conspicuous, versatile and simple flower decoration body, the method including a new style of spotlighting a person receiving commendation and enhancing commercial value of the decorated good by forming a flower insertion wreath 28 and presentation with a compact-sized flower decoration body 34. The flower decoration body 34 includes a flower insertion wreath 28 which is composed of a variety of flower insertions 1 formed of leaves, stems or petals, integrally attached to or suspended from the front, back or the periphery of a flower decoration base 2, so as to beautifully present an object 23, as a main component, and to enhance its existence value.  5","메달이나 오브제나 상품 등의 귀중 물품을보다 매력적으로 화려하게 매료 시키는 소형의 장식 장치로 특히 새로운 연출법에 의해 한층 두드러져 범용성이 높고 간편한 화식체를 제공하는 것을 목적으로 하는 것이다. 꽃꽂이 리스 28을 형성하여 표창력이나 상품 존재 가치를 한층 두드러지게 하는 신스타일이며 소형 화식체 34에 의한 연출구가 요구되고 있었다. 잎이나 줄기나 꽃잎으로 구성되는 꽃꽂이 1을 다양한 꽃꽂이 리스 28으로서 형성하고화식기반 2의 표리나 외부 주변에 설치 일체 장착 또는 현 매달게 하고, 주체물로서의 장착물 23을 더욱 화려하게 연출하고 존재 가치를 높이는 화식체 34로 한다."
2889,124,"Patient may experience dyspnea or lung collapse, as the result of stenosis, caused by formation of granulomatous tissue as well as fibrotic elements.",육아종 조직과 섬유성 요소의 형성으로 협착이 일어나면 환자는 호흡곤란이나 폐 허탈을 경험할 수 있다.
4628,71266,"Each year, the EU adjusts its member countries' catch quotas to account for the excess catches of the previous year.",EU는 매년 전년도의 초과 어획량을 감안해 회원국의 어획 쿼터를 조정하고 있다.
2447,71266,The control module may measure and analyze the data in performing an experiment under preset conditions in the first and second steps of the analysis step.,상기 제어모듈은 분석단계의 제1 단계 및 제2 단계에서 기 설정된 조건 하에서 실험을 수행하는데 있어서 해당 자료를 측정 및 분석할 수 있다.
